Date;Collection time;Depth (m);Root type;Measurement Time;Measurer;RootID;Root water potential (MPa);Note
26-Sep-25;14:30;0,1;Transport fine roots;16:10;Chloe;1;-0,278;Area of TreeID 4
26-Sep-25;14:30;0,1;Transport fine roots;16:10;Chloe;2;-0,152;Area of TreeID 4
26-Sep-25;14:30;0,1;Transport fine roots;16:10;Chloe;3;-0,502;Area of TreeID 4
26-Sep-25;14:30;0,1;Transport fine roots;16:10;Chloe;4;-0,15;Area of TreeID 4
;;;;;;;;
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;1;-0,07;Area of TreeID 4
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;2;-0,021;Area of TreeID 4
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;3;-0,016;Area of TreeID 4
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;4;-0,193;Area of TreeID 4
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;5;-0,069;Area of TreeID 4
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;6;-0,038;Area of TreeID 4
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;7;-0,69;Area of TreeID 4
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;8;-0,029;Area of TreeID 4
27-Sep-25;06:05;0,1;Transport fine roots;09:30;Chloe;9;-0,06;Area of TreeID 4